_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
271.278269	-19.838428	271.278269	-19.838428	18050678-1950183	9.057	0.032	8.454	0.051	8.261	0.029	AAA	111	111	00d	0	0
271.307404	-19.858713	271.307404	-19.858713	18051377-1951313	12.411	0.038	9.979	0.029	8.886	0.019	EAA	222	111	000	0	0
271.299288	-19.827572	271.299288	-19.827572	18051182-1949392	12.248		10.050	0.026	9.089	0.027	UAA	622	012	00c	0	0
271.289021	-19.851507	271.289021	-19.851507	18050936-1951054	12.316	0.027	10.136	0.026	9.155	0.023	AAA	222	111	000	0	0
271.278700	-19.841511	271.278700	-19.841511	18050688-1950294	10.564	0.024	9.608	0.024	9.203	0.019	AAA	222	111	ddd	0	0
271.279974	-19.856703	271.279974	-19.856703	18050719-1951241	12.345	0.033	10.426	0.030	9.575	0.024	AAA	222	111	000	0	0
271.282929	-19.853552	271.282929	-19.853552	18050790-1951127	12.810	0.030	10.667	0.029	9.604	0.019	AAA	222	111	000	0	0
271.297872	-19.823038	271.297872	-19.823038	18051148-1949229	12.628	0.038	10.528		9.629		AUU	266	200	c00	0	0
271.321521	-19.841946	271.321521	-19.841946	18051716-1950310	13.723	0.023	11.105	0.024	9.919	0.019	AAA	222	111	000	0	0
271.287091	-19.866472	271.287091	-19.866472	18050890-1951592	13.311	0.061	11.024	0.063	9.920	0.036	EEE	222	111	00d	0	0
271.304574	-19.842976	271.304574	-19.842976	18051309-1950347	11.518	0.069	11.139	0.078	9.974	0.047	EEE	222	111	000	1	0
271.322972	-19.849669	271.322972	-19.849669	18051751-1950588	11.189	0.024	10.357	0.027	10.005	0.023	AAA	222	111	000	0	0
271.284233	-19.850752	271.284233	-19.850752	18050821-1951027	12.908	0.061	10.935	0.044	10.063		EEU	226	210	c00	0	0
271.296841	-19.823294	271.296841	-19.823294	18051124-1949238	14.301	0.042	10.969		10.126		AUU	266	200	c00	0	0
271.301607	-19.823240	271.301607	-19.823240	18051238-1949236	13.504	0.032	11.211	0.026	10.183	0.019	AAA	222	111	000	0	0
271.296569	-19.835667	271.296569	-19.835667	18051117-1950084	13.002	0.026	11.084	0.026	10.198	0.021	AAA	222	111	000	0	0
271.325542	-19.855927	271.325542	-19.855927	18051813-1951213	14.553	0.033	11.545	0.029	10.219	0.024	AAA	222	111	000	0	0
271.317341	-19.822454	271.317341	-19.822454	18051616-1949208	14.873	0.044	11.809	0.059	10.274	0.035	AAA	222	111	c00	0	0
271.291552	-19.835716	271.291552	-19.835716	18050997-1950085	13.000	0.029	11.125	0.029	10.317	0.023	AAA	222	111	000	0	0
271.290177	-19.821402	271.290177	-19.821402	18050964-1949170	13.540	0.029	11.276	0.026	10.343	0.023	AAA	222	111	000	0	0
271.286931	-19.847239	271.286931	-19.847239	18050886-1950500	13.422	0.032	11.400	0.030	10.390	0.021	AAA	222	111	000	0	0
271.328497	-19.865067	271.328497	-19.865067	18051883-1951542	14.218	0.024	11.658	0.023	10.478	0.019	AAA	222	111	000	0	0
271.307259	-19.825926	271.307259	-19.825926	18051374-1949333	14.039	0.039	11.717	0.029	10.623	0.021	AAA	222	111	00s	0	0
271.279429	-19.820518	271.279429	-19.820518	18050706-1949138	14.303	0.039	11.797	0.026	10.625	0.023	AAA	222	111	000	0	0
271.322477	-19.862280	271.322477	-19.862280	18051739-1951442	14.564	0.041	11.964	0.037	10.704	0.029	AAA	222	111	0ss	0	0
271.284336	-19.847149	271.284336	-19.847149	18050824-1950497	13.517	0.039	11.639	0.037	10.816	0.026	AAA	222	111	000	0	0
271.287638	-19.867514	271.287638	-19.867514	18050903-1952030	14.142	0.059	11.974	0.073	10.957	0.039	AAA	222	112	ccc	0	0
271.318774	-19.824039	271.318774	-19.824039	18051650-1949265	14.826	0.032	12.137	0.024	10.957	0.023	AAA	222	111	000	0	0
271.299409	-19.843142	271.299409	-19.843142	18051185-1950353	14.458	0.041	12.052	0.029	10.959	0.026	AAA	222	111	000	0	0
271.283135	-19.851360	271.283135	-19.851360	18050795-1951048	14.180	0.110	13.533	0.169	10.991		ECU	226	210	cc0	0	0
271.278825	-19.836069	271.278825	-19.836069	18050691-1950098	13.908	0.096	11.974	0.054	11.025	0.029	AAA	222	111	ccc	0	0
271.327034	-19.836769	271.327034	-19.836769	18051848-1950123	15.819	0.070	12.542	0.024	11.052	0.021	BAA	222	111	000	0	0
271.303990	-19.851986	271.303990	-19.851986	18051295-1951071	14.301	0.051	12.049	0.035	11.071	0.031	AAA	222	111	000	0	0
271.298092	-19.826536	271.298092	-19.826536	18051154-1949355	15.025	0.098	11.978		11.078		AUU	200	100	c00	0	0
271.315816	-19.865723	271.315816	-19.865723	18051579-1951566	12.502	0.027	11.529	0.032	11.173	0.029	AAA	222	111	000	0	0
271.294359	-19.832123	271.294359	-19.832123	18051064-1949556	13.911	0.080	11.866		11.174		AUU	266	200	c00	0	0
271.316044	-19.838751	271.316044	-19.838751	18051585-1950195	14.457	0.041	12.166	0.037	11.190	0.019	AEA	222	111	000	0	0
271.298050	-19.832209	271.298050	-19.832209	18051153-1949559	13.222		12.633	0.058	11.288		UEU	626	020	0c0	0	0
271.325798	-19.823400	271.325798	-19.823400	18051819-1949242	15.614	0.068	12.694	0.026	11.369	0.021	BAA	222	111	000	0	0
